"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"Fiducial_0.5mm_Mask1.5mm";3;"Fiducial_0.5mm_Mask1.5mm";;;
2;",,";"";3;"";;;
3;"U1";"NodeMCU1.0";1;"NodeMCU1.0(ESP-12E)";;;
4;"G***";"isolse";1;"LOGO";;;
5;"G***";"Spidey";1;"LOGO";;;
6;"Q6,Q5,Q1,Q4,Q3,Q2";"NEC_Molded_7x4x9mm";6;"Q_NPN_BCE";;;
7;"D7,D8,D2,D1";"D_A-405_P10.16mm_Horizontal";4;"D";;;
8;"K3,K1,K2";"Relay_SPDT_Finder_36.11";3;"FINDER-36.11";;;
9;"U3";"nRF24L01_Adapter";1;"NRF24L01";;;
10;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Contacto F (N.0)";;;
11;"U4";"DC_DC_Converter_lm2596";1;"LM2596";;;
12;"F1";"Fuseholder5x20_horiz_open_inline_Type-I";1;"Fuse";;;
13;"D6,D4";"D_DO-34_SOD68_P10.16mm_Horizontal";2;"diode";;;
14;"U2";"DIP-8_W7.62mm";1;"LM555xN";;;
15;"RV1";"Potentiometer_Bourns_3266W_Vertical";1;"R_POT 100k";;;
16;"R11,R10,R9,R7,R6,R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";6;"220";;;
17;"R8,R5";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"1K";;;
18;"R4,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"47K";;;
19;"R1";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"100K";;;
20;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Contacto A (N.O) ";;;
21;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"DC Supply";;;
22;"D11,D10,D9";"LED_D3.0mm";3;"LED";;;
23;"D5,D3";"D_DO-34_SOD68_P10.16mm_Horizontal";2;"Diode";;;
24;"C2";"CP_Radial_D4.0mm_P1.50mm";1;"47uF";;;
25;"C1";"CP_Radial_D4.0mm_P1.50mm";1;"10nF";;;
